Date,Open,High,Low,Close,Volume,Adj Close
2017-03-01,92.199997,94.449997,90.400002,94.300003,23000,94.300003
2017-02-28,92.199997,92.400002,90.150002,91.449997,26500,91.449997
2017-02-27,92.050003,93.349998,91.949997,92.349998,18100,92.349998
2017-02-24,91.900002,92.900002,91.75,92.099998,18500,92.099998
2017-02-23,93.599998,93.599998,91.660004,92.50,20900,92.50
2017-02-22,91.900002,93.75,91.849998,93.550003,30900,93.550003
2017-02-21,92.449997,92.449997,90.849998,92.199997,13500,92.199997
2017-02-17,92.00,92.449997,91.650002,92.300003,20700,92.300003
2017-02-16,92.300003,92.300003,90.449997,91.449997,21000,91.449997
2017-02-15,91.50,92.550003,91.00,92.550003,115800,92.550003
2017-02-14,89.400002,92.699997,88.800003,92.050003,55800,92.050003
2017-02-13,91.00,91.110001,89.449997,90.50,20700,90.50
2017-02-10,89.650002,90.449997,88.75,90.150002,6900,90.150002
2017-02-09,87.849998,90.800003,87.400002,89.25,31700,89.25
2017-02-08,89.400002,89.400002,86.849998,87.449997,25900,87.449997
2017-02-07,91.800003,91.900002,89.150002,89.400002,25000,89.400002
2017-02-06,89.699997,91.800003,89.699997,91.050003,35300,91.050003
2017-02-03,90.25,90.449997,89.00,90.00,10900,90.00
2017-02-02,91.75,91.75,89.00,89.300003,14100,89.300003
2017-02-01,87.849998,92.949997,87.449997,91.699997,51900,91.699997
2017-01-31,85.900002,88.00,85.50,88.00,44100,88.00
2017-01-30,85.150002,86.50,85.00,85.900002,22000,85.900002
2017-01-27,85.900002,86.199997,84.349998,85.949997,22300,85.949997
2017-01-26,87.400002,87.400002,85.25,85.400002,18700,85.400002
2017-01-25,85.599998,86.75,84.900002,86.75,21000,86.75
2017-01-24,84.75,85.400002,84.099998,85.00,28100,85.00
2017-01-23,83.650002,84.349998,83.150002,84.00,6200,84.00
2017-01-20,84.199997,85.150002,82.849998,83.800003,17900,83.800003
2017-01-19,85.900002,85.900002,83.529999,83.650002,10400,83.650002
2017-01-18,84.150002,86.199997,83.550003,85.550003,24600,85.550003
2017-01-17,84.800003,84.949997,83.849998,84.00,10300,84.00
2017-01-13,84.849998,85.449997,83.00,85.099998,12500,85.099998
2017-01-12,84.949997,86.00,83.75,84.650002,15300,84.650002
2017-01-11,85.099998,86.650002,83.400002,85.050003,25900,85.050003
2017-01-10,85.849998,87.150002,85.400002,85.50,26500,85.50
2017-01-09,84.900002,87.00,84.25,86.00,21900,86.00
2017-01-06,86.599998,87.50,85.199997,85.449997,17200,85.449997
2017-01-05,87.050003,88.800003,86.400002,86.900002,34600,86.900002
2017-01-04,86.150002,88.300003,85.779999,88.300003,28400,88.300003
2017-01-03,83.900002,85.650002,83.099998,85.650002,22500,85.650002
2016-12-30,84.449997,84.849998,83.199997,83.550003,26300,83.550003
2016-12-29,85.00,85.00,84.00,84.50,29400,84.50
2016-12-28,87.900002,88.00,85.50,85.599998,21600,85.599998
2016-12-27,87.650002,88.879997,87.349998,87.800003,15300,87.800003
2016-12-23,86.599998,88.199997,84.050003,87.900002,19100,87.900002
2016-12-22,89.300003,89.949997,85.550003,87.099998,29500,87.099998
2016-12-21,89.75,90.00,88.589996,88.949997,12500,88.949997
2016-12-20,90.150002,90.449997,89.00,90.449997,24400,90.449997
2016-12-19,90.050003,90.050003,88.00,89.349998,20800,89.349998
2016-12-16,89.25,89.449997,88.25,89.150002,53900,89.150002
2016-12-15,87.75,89.400002,87.300003,88.699997,23600,88.699997
2016-12-14,88.00,88.800003,87.00,87.849998,13600,87.849998
2016-12-13,88.949997,89.75,87.199997,87.900002,30200,87.900002
